IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.125.62,2083,TRUE,NRT,Asia Pacific,Tokyo,308 ms,2911 kB/s
47.236.17.193,8443,TRUE,SIN,Asia Pacific,Singapore,227 ms,2904 kB/s
8.217.90.154,443,TRUE,HKG,Asia Pacific,Hong Kong,54 ms,2901 kB/s
8.219.109.183,443,TRUE,SIN,Asia Pacific,Singapore,229 ms,2837 kB/s
8.219.240.160,2083,TRUE,SIN,Asia Pacific,Singapore,231 ms,2832 kB/s
47.237.14.220,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,2822 kB/s
47.237.8.82,2096,TRUE,SIN,Asia Pacific,Singapore,237 ms,2806 kB/s
47.237.95.156,8443,TRUE,SIN,Asia Pacific,Singapore,235 ms,2745 kB/s
47.237.10.1,2087,TRUE,SIN,Asia Pacific,Singapore,246 ms,2696 kB/s
47.236.180.51,2053,TRUE,SIN,Asia Pacific,Singapore,252 ms,2655 kB/s
47.237.10.1,8443,TRUE,SIN,Asia Pacific,Singapore,225 ms,2626 kB/s
8.219.240.160,443,TRUE,SIN,Asia Pacific,Singapore,250 ms,2614 kB/s
47.245.105.224,2087,TRUE,SIN,Asia Pacific,Singapore,239 ms,2609 kB/s
47.236.168.17,8443,TRUE,SIN,Asia Pacific,Singapore,226 ms,2591 kB/s
47.236.125.62,2087,TRUE,NRT,Asia Pacific,Tokyo,299 ms,2549 kB/s
47.237.92.26,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,2526 kB/s
8.219.240.160,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,2364 kB/s
47.236.145.85,2053,TRUE,SIN,Asia Pacific,Singapore,244 ms,2309 kB/s
47.236.202.91,2096,TRUE,SIN,Asia Pacific,Singapore,235 ms,2169 kB/s
47.236.85.11,8443,TRUE,SIN,Asia Pacific,Singapore,239 ms,2162 kB/s
47.236.113.184,443,TRUE,SIN,Asia Pacific,Singapore,240 ms,2150 kB/s
47.236.253.41,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,1897 kB/s
47.237.10.1,2096,TRUE,SIN,Asia Pacific,Singapore,222 ms,1885 kB/s
8.211.13.91,443,TRUE,FRA,Europe,Frankfurt,270 ms,1407 kB/s
47.236.125.62,8443,TRUE,NRT,Asia Pacific,Tokyo,306 ms,1311 kB/s
47.245.105.224,2083,TRUE,SIN,Asia Pacific,Singapore,236 ms,1257 kB/s
47.89.191.155,443,TRUE,IAD,North America,Ashburn,252 ms,1071 kB/s
8.211.12.62,443,TRUE,FRA,Europe,Frankfurt,272 ms,1033 kB/s
8.219.240.160,2087,TRUE,SIN,Asia Pacific,Singapore,230 ms,924 kB/s
8.209.108.205,443,TRUE,FRA,Europe,Frankfurt,274 ms,782 kB/s
8.218.63.172,443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,684 kB/s
8.222.225.193,443,TRUE,SIN,Asia Pacific,Singapore,251 ms,630 kB/s
47.236.170.225,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,569 kB/s
47.236.118.216,2083,TRUE,SIN,Asia Pacific,Singapore,236 ms,393 kB/s
47.76.178.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,387 kB/s
47.76.178.146,2096,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,361 kB/s
47.76.204.76,8443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,323 kB/s
47.236.202.91,2083,TRUE,SIN,Asia Pacific,Singapore,243 ms,259 kB/s
47.57.245.232,443,TRUE,SJC,North America,San Jose,78 ms,105 kB/s
8.210.92.27,443,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,8 kB/s
47.236.9.152,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,0 kB/s
47.236.10.182,2087,TRUE,SIN,Asia Pacific,Singapore,242 ms,0 kB/s
47.236.17.193,2083,TRUE,SIN,Asia Pacific,Singapore,238 ms,0 kB/s
47.236.168.17,2087,TRUE,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
47.236.168.17,2096,TRUE,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.76.178.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
47.237.100.206,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.236.237.90,2087,TRUE,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
47.237.14.220,2053,TRUE,SIN,Asia Pacific,Singapore,259 ms,0 kB/s
47.236.205.188,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.236.205.188,2096,TRUE,SIN,Asia Pacific,Singapore,216 ms,0 kB/s
47.76.178.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
47.76.178.146,443,TRUE,HKG,Asia Pacific,Hong Kong,53 ms,0 kB/s
47.236.121.23,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,0 kB/s
47.237.92.26,8443,TRUE,SIN,Asia Pacific,Singapore,243 ms,0 kB/s
8.219.50.180,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.236.146.249,443,TRUE,SIN,Asia Pacific,Singapore,220 ms,0 kB/s
47.236.144.48,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,0 kB/s
47.237.81.112,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.243.42.219,2087,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
47.237.86.185,2087,TRUE,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,0 kB/s
47.237.83.20,8443,TRUE,SIN,Asia Pacific,Singapore,239 ms,0 kB/s
47.76.178.146,2087,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,0 kB/s
35.201.203.106,443,TRUE,TPE,Asia Pacific,Taipei,81 ms,17359 kB/s
34.141.239.181,443,TRUE,FRA,Europe,Frankfurt,250 ms,7054 kB/s
34.91.15.225,443,TRUE,FRA,Europe,Frankfurt,254 ms,6510 kB/s
35.198.74.92,443,TRUE,FRA,Europe,Frankfurt,240 ms,6377 kB/s
34.90.191.52,443,TRUE,FRA,Europe,Frankfurt,243 ms,6024 kB/s
34.118.83.159,443,TRUE,FRA,Europe,Frankfurt,262 ms,5954 kB/s
34.118.6.46,443,TRUE,FRA,Europe,Frankfurt,253 ms,5847 kB/s
35.246.232.231,443,TRUE,FRA,Europe,Frankfurt,231 ms,5570 kB/s
34.116.250.92,443,TRUE,FRA,Europe,Frankfurt,253 ms,5557 kB/s
34.65.192.38,443,TRUE,FRA,Europe,Frankfurt,245 ms,5476 kB/s
34.118.99.127,443,TRUE,FRA,Europe,Frankfurt,240 ms,5404 kB/s
34.90.195.109,443,TRUE,FRA,Europe,Frankfurt,239 ms,5381 kB/s
34.118.114.167,443,TRUE,FRA,Europe,Frankfurt,256 ms,5364 kB/s
34.154.74.38,443,TRUE,FRA,Europe,Frankfurt,233 ms,5327 kB/s
34.91.197.189,443,TRUE,FRA,Europe,Frankfurt,250 ms,5288 kB/s
34.41.252.92,443,TRUE,ORD,North America,Chicago,238 ms,5255 kB/s
34.118.0.142,443,TRUE,FRA,Europe,Frankfurt,247 ms,5088 kB/s
34.32.236.208,443,TRUE,FRA,Europe,Frankfurt,241 ms,5087 kB/s
34.154.126.75,443,TRUE,FRA,Europe,Frankfurt,245 ms,5044 kB/s
34.154.195.183,443,TRUE,FRA,Europe,Frankfurt,257 ms,4982 kB/s
34.118.75.245,443,TRUE,FRA,Europe,Frankfurt,257 ms,4968 kB/s
34.159.5.116,443,TRUE,FRA,Europe,Frankfurt,248 ms,4964 kB/s
34.154.56.153,443,TRUE,FRA,Europe,Frankfurt,239 ms,4955 kB/s
34.118.2.183,443,TRUE,FRA,Europe,Frankfurt,271 ms,4907 kB/s
34.90.14.162,443,TRUE,FRA,Europe,Frankfurt,256 ms,4889 kB/s
35.242.207.37,443,TRUE,FRA,Europe,Frankfurt,241 ms,4833 kB/s
34.118.49.212,443,TRUE,FRA,Europe,Frankfurt,272 ms,4815 kB/s
34.154.196.132,443,TRUE,FRA,Europe,Frankfurt,240 ms,4759 kB/s
34.118.70.10,443,TRUE,FRA,Europe,Frankfurt,255 ms,4741 kB/s
35.204.100.110,443,TRUE,FRA,Europe,Frankfurt,238 ms,4738 kB/s
34.65.234.143,443,TRUE,FRA,Europe,Frankfurt,253 ms,4716 kB/s
34.118.121.202,443,TRUE,FRA,Europe,Frankfurt,248 ms,4709 kB/s
34.154.127.227,443,TRUE,FRA,Europe,Frankfurt,249 ms,4595 kB/s
34.65.168.5,443,TRUE,FRA,Europe,Frankfurt,234 ms,4580 kB/s
34.65.67.223,443,TRUE,FRA,Europe,Frankfurt,237 ms,4578 kB/s
34.65.52.186,443,TRUE,FRA,Europe,Frankfurt,234 ms,4485 kB/s
34.118.99.208,443,TRUE,FRA,Europe,Frankfurt,249 ms,4466 kB/s
34.116.224.197,443,TRUE,FRA,Europe,Frankfurt,279 ms,4442 kB/s
35.204.46.220,443,TRUE,FRA,Europe,Frankfurt,259 ms,4418 kB/s
34.91.151.106,443,TRUE,FRA,Europe,Frankfurt,247 ms,4384 kB/s
34.154.118.156,443,TRUE,FRA,Europe,Frankfurt,236 ms,4364 kB/s
34.107.65.94,443,TRUE,FRA,Europe,Frankfurt,239 ms,4316 kB/s
34.116.203.90,443,TRUE,FRA,Europe,Frankfurt,262 ms,4234 kB/s
34.118.19.99,443,TRUE,FRA,Europe,Frankfurt,257 ms,4190 kB/s
34.116.157.223,443,TRUE,FRA,Europe,Frankfurt,258 ms,4150 kB/s
34.65.248.147,443,TRUE,FRA,Europe,Frankfurt,233 ms,4122 kB/s
34.118.54.138,443,TRUE,FRA,Europe,Frankfurt,262 ms,4067 kB/s
34.65.221.121,443,TRUE,FRA,Europe,Frankfurt,247 ms,4033 kB/s
34.116.231.103,443,TRUE,FRA,Europe,Frankfurt,254 ms,4018 kB/s
34.118.22.52,443,TRUE,FRA,Europe,Frankfurt,249 ms,3994 kB/s
34.32.205.67,443,TRUE,FRA,Europe,Frankfurt,262 ms,3945 kB/s
34.116.146.236,443,TRUE,FRA,Europe,Frankfurt,254 ms,3899 kB/s
34.89.215.49,443,TRUE,FRA,Europe,Frankfurt,228 ms,3801 kB/s
35.204.114.133,443,TRUE,FRA,Europe,Frankfurt,250 ms,3749 kB/s
34.89.241.164,443,TRUE,FRA,Europe,Frankfurt,243 ms,3737 kB/s
34.116.138.196,443,TRUE,FRA,Europe,Frankfurt,262 ms,3702 kB/s
34.32.172.190,443,TRUE,FRA,Europe,Frankfurt,243 ms,3666 kB/s
35.198.146.243,443,TRUE,FRA,Europe,Frankfurt,257 ms,3656 kB/s
34.118.112.23,443,TRUE,FRA,Europe,Frankfurt,263 ms,3631 kB/s
34.116.155.234,443,TRUE,FRA,Europe,Frankfurt,264 ms,3609 kB/s
34.32.214.127,443,TRUE,FRA,Europe,Frankfurt,236 ms,3570 kB/s
34.118.93.127,443,TRUE,FRA,Europe,Frankfurt,255 ms,3549 kB/s
34.118.104.248,443,TRUE,FRA,Europe,Frankfurt,258 ms,3541 kB/s
34.154.58.89,443,TRUE,FRA,Europe,Frankfurt,250 ms,3513 kB/s
34.154.27.200,443,TRUE,FRA,Europe,Frankfurt,227 ms,3465 kB/s
34.116.179.241,443,TRUE,FRA,Europe,Frankfurt,261 ms,3352 kB/s
35.198.132.107,443,TRUE,FRA,Europe,Frankfurt,245 ms,3343 kB/s
34.118.56.2,443,TRUE,FRA,Europe,Frankfurt,263 ms,3314 kB/s
35.204.33.92,443,TRUE,FRA,Europe,Frankfurt,249 ms,3314 kB/s
34.116.240.195,443,TRUE,FRA,Europe,Frankfurt,263 ms,3198 kB/s
34.32.207.224,443,TRUE,FRA,Europe,Frankfurt,258 ms,3172 kB/s
34.154.141.246,443,TRUE,FRA,Europe,Frankfurt,237 ms,2975 kB/s
34.116.241.33,443,TRUE,FRA,Europe,Frankfurt,259 ms,2911 kB/s
34.116.199.155,443,TRUE,FRA,Europe,Frankfurt,260 ms,2782 kB/s
34.154.93.26,443,TRUE,FRA,Europe,Frankfurt,238 ms,2427 kB/s
35.247.124.181,443,TRUE,SEA,North America,Seattle,272 ms,2412 kB/s
34.89.179.44,443,TRUE,FRA,Europe,Frankfurt,242 ms,2330 kB/s
35.246.248.192,443,TRUE,FRA,Europe,Frankfurt,227 ms,2309 kB/s
34.65.230.74,443,TRUE,FRA,Europe,Frankfurt,242 ms,2226 kB/s
35.246.179.198,443,TRUE,FRA,Europe,Frankfurt,244 ms,2211 kB/s
34.65.230.120,443,TRUE,FRA,Europe,Frankfurt,242 ms,2185 kB/s
34.89.241.113,443,TRUE,FRA,Europe,Frankfurt,232 ms,2146 kB/s
35.246.209.243,443,TRUE,FRA,Europe,Frankfurt,235 ms,2111 kB/s
34.116.241.55,443,TRUE,FRA,Europe,Frankfurt,259 ms,2105 kB/s
34.89.206.136,443,TRUE,FRA,Europe,Frankfurt,248 ms,2097 kB/s
34.118.123.62,443,TRUE,FRA,Europe,Frankfurt,255 ms,2088 kB/s
34.159.184.197,443,TRUE,FRA,Europe,Frankfurt,226 ms,2064 kB/s
34.159.167.25,443,TRUE,FRA,Europe,Frankfurt,248 ms,2053 kB/s
34.65.195.159,443,TRUE,FRA,Europe,Frankfurt,253 ms,2051 kB/s
34.90.91.163,443,TRUE,FRA,Europe,Frankfurt,245 ms,2047 kB/s
34.159.87.254,443,TRUE,FRA,Europe,Frankfurt,249 ms,2042 kB/s
34.32.224.57,443,TRUE,FRA,Europe,Frankfurt,249 ms,2028 kB/s
34.118.107.80,443,TRUE,FRA,Europe,Frankfurt,267 ms,1985 kB/s
34.107.29.33,443,TRUE,FRA,Europe,Frankfurt,247 ms,1958 kB/s
34.116.159.225,443,TRUE,FRA,Europe,Frankfurt,270 ms,1937 kB/s
34.159.4.90,443,TRUE,FRA,Europe,Frankfurt,243 ms,1922 kB/s
34.116.181.8,443,TRUE,FRA,Europe,Frankfurt,262 ms,1918 kB/s
34.65.176.196,443,TRUE,FRA,Europe,Frankfurt,260 ms,1897 kB/s
34.34.7.17,443,TRUE,FRA,Europe,Frankfurt,243 ms,1861 kB/s
34.118.123.180,443,TRUE,FRA,Europe,Frankfurt,245 ms,1859 kB/s
34.116.243.135,443,TRUE,FRA,Europe,Frankfurt,263 ms,1844 kB/s
34.65.35.144,443,TRUE,FRA,Europe,Frankfurt,229 ms,1829 kB/s
34.118.112.138,443,TRUE,FRA,Europe,Frankfurt,264 ms,1817 kB/s
34.116.172.212,443,TRUE,FRA,Europe,Frankfurt,265 ms,1810 kB/s
34.107.106.55,443,TRUE,FRA,Europe,Frankfurt,231 ms,1810 kB/s
35.198.83.144,443,TRUE,FRA,Europe,Frankfurt,238 ms,1791 kB/s
34.65.216.72,443,TRUE,FRA,Europe,Frankfurt,231 ms,1785 kB/s
34.32.224.139,443,TRUE,FRA,Europe,Frankfurt,239 ms,1782 kB/s
34.118.45.49,443,TRUE,FRA,Europe,Frankfurt,249 ms,1775 kB/s
34.107.98.219,443,TRUE,FRA,Europe,Frankfurt,245 ms,1775 kB/s
34.90.78.95,443,TRUE,FRA,Europe,Frankfurt,244 ms,1772 kB/s
34.118.115.199,443,TRUE,FRA,Europe,Frankfurt,261 ms,1770 kB/s
34.118.41.156,443,TRUE,FRA,Europe,Frankfurt,267 ms,1760 kB/s
34.159.166.240,443,TRUE,FRA,Europe,Frankfurt,235 ms,1756 kB/s
34.116.208.135,443,TRUE,FRA,Europe,Frankfurt,271 ms,1740 kB/s
34.116.154.245,443,TRUE,FRA,Europe,Frankfurt,253 ms,1731 kB/s
34.118.104.85,443,TRUE,FRA,Europe,Frankfurt,257 ms,1730 kB/s
35.198.90.88,443,TRUE,FRA,Europe,Frankfurt,234 ms,1724 kB/s
35.242.217.81,443,TRUE,FRA,Europe,Frankfurt,241 ms,1718 kB/s
34.159.212.36,443,TRUE,FRA,Europe,Frankfurt,255 ms,1714 kB/s
34.159.215.161,443,TRUE,FRA,Europe,Frankfurt,245 ms,1701 kB/s
34.118.101.53,443,TRUE,FRA,Europe,Frankfurt,252 ms,1697 kB/s
34.65.37.122,443,TRUE,FRA,Europe,Frankfurt,230 ms,1671 kB/s
34.65.47.187,443,TRUE,FRA,Europe,Frankfurt,233 ms,1648 kB/s
34.32.170.34,443,TRUE,FRA,Europe,Frankfurt,233 ms,1630 kB/s
34.32.162.203,443,TRUE,AMS,Europe,Amsterdam,239 ms,1624 kB/s
34.116.195.230,443,TRUE,FRA,Europe,Frankfurt,249 ms,1614 kB/s
34.90.56.5,443,TRUE,FRA,Europe,Frankfurt,239 ms,1593 kB/s
34.116.131.199,443,TRUE,FRA,Europe,Frankfurt,259 ms,1583 kB/s
34.32.165.245,443,TRUE,FRA,Europe,Frankfurt,240 ms,1570 kB/s
34.116.191.48,443,TRUE,FRA,Europe,Frankfurt,257 ms,1566 kB/s
34.116.151.200,443,TRUE,FRA,Europe,Frankfurt,254 ms,1557 kB/s
34.91.196.131,443,TRUE,FRA,Europe,Frankfurt,252 ms,1547 kB/s
34.118.4.189,443,TRUE,FRA,Europe,Frankfurt,267 ms,1545 kB/s
34.118.53.102,443,TRUE,FRA,Europe,Frankfurt,266 ms,1504 kB/s
34.65.234.42,443,TRUE,FRA,Europe,Frankfurt,239 ms,1497 kB/s
34.116.243.138,443,TRUE,FRA,Europe,Frankfurt,265 ms,1492 kB/s
34.154.90.126,443,TRUE,FRA,Europe,Frankfurt,242 ms,1484 kB/s
34.32.141.114,443,TRUE,FRA,Europe,Frankfurt,249 ms,1468 kB/s
34.65.118.63,443,TRUE,FRA,Europe,Frankfurt,266 ms,1446 kB/s
34.65.211.97,443,TRUE,FRA,Europe,Frankfurt,229 ms,1433 kB/s
34.154.172.150,443,TRUE,FRA,Europe,Frankfurt,239 ms,1411 kB/s
34.118.115.254,443,TRUE,FRA,Europe,Frankfurt,266 ms,1410 kB/s
34.154.29.94,443,TRUE,FRA,Europe,Frankfurt,236 ms,1398 kB/s
34.159.180.72,443,TRUE,FRA,Europe,Frankfurt,243 ms,1398 kB/s
34.90.108.106,443,TRUE,FRA,Europe,Frankfurt,248 ms,1395 kB/s
34.154.104.11,443,TRUE,FRA,Europe,Frankfurt,223 ms,1379 kB/s
34.154.0.12,443,TRUE,FRA,Europe,Frankfurt,246 ms,1377 kB/s
34.65.185.49,443,TRUE,FRA,Europe,Frankfurt,246 ms,1372 kB/s
34.116.180.92,443,TRUE,FRA,Europe,Frankfurt,250 ms,1348 kB/s
34.154.117.59,443,TRUE,FRA,Europe,Frankfurt,238 ms,1329 kB/s
34.89.236.249,443,TRUE,FRA,Europe,Frankfurt,237 ms,1291 kB/s
34.118.36.124,443,TRUE,FRA,Europe,Frankfurt,257 ms,1247 kB/s
34.116.214.3,443,TRUE,FRA,Europe,Frankfurt,248 ms,1246 kB/s
34.154.11.70,443,TRUE,FRA,Europe,Frankfurt,229 ms,1242 kB/s
34.65.184.103,443,TRUE,FRA,Europe,Frankfurt,234 ms,1221 kB/s
34.154.113.244,443,TRUE,FRA,Europe,Frankfurt,226 ms,1211 kB/s
34.154.167.40,443,TRUE,FRA,Europe,Frankfurt,239 ms,1206 kB/s
35.246.230.216,443,TRUE,FRA,Europe,Frankfurt,231 ms,1196 kB/s
34.116.161.91,443,TRUE,FRA,Europe,Frankfurt,258 ms,1161 kB/s
34.154.213.202,443,TRUE,FRA,Europe,Frankfurt,232 ms,1120 kB/s
34.154.93.142,443,TRUE,FRA,Europe,Frankfurt,240 ms,1106 kB/s
34.159.190.252,443,TRUE,FRA,Europe,Frankfurt,243 ms,1099 kB/s
34.159.21.226,443,TRUE,FRA,Europe,Frankfurt,241 ms,1091 kB/s
34.141.111.235,443,TRUE,FRA,Europe,Frankfurt,237 ms,1089 kB/s
34.154.1.132,443,TRUE,FRA,Europe,Frankfurt,237 ms,1081 kB/s
34.91.83.51,443,TRUE,FRA,Europe,Frankfurt,251 ms,1081 kB/s
35.234.68.60,443,TRUE,FRA,Europe,Frankfurt,246 ms,1052 kB/s
34.118.37.122,443,TRUE,FRA,Europe,Frankfurt,247 ms,1043 kB/s
34.89.222.45,443,TRUE,FRA,Europe,Frankfurt,231 ms,1043 kB/s
34.118.56.203,443,TRUE,FRA,Europe,Frankfurt,275 ms,1033 kB/s
34.118.60.19,443,TRUE,FRA,Europe,Frankfurt,262 ms,1022 kB/s
34.118.103.187,443,TRUE,FRA,Europe,Frankfurt,256 ms,972 kB/s
34.116.188.159,443,TRUE,FRA,Europe,Frankfurt,260 ms,965 kB/s
34.116.216.206,443,TRUE,FRA,Europe,Frankfurt,249 ms,955 kB/s
34.159.215.56,443,TRUE,FRA,Europe,Frankfurt,243 ms,944 kB/s
34.91.215.99,443,TRUE,FRA,Europe,Frankfurt,239 ms,931 kB/s
34.154.164.171,443,TRUE,FRA,Europe,Frankfurt,228 ms,912 kB/s
34.154.193.1,443,TRUE,FRA,Europe,Frankfurt,243 ms,899 kB/s
34.118.33.218,443,TRUE,FRA,Europe,Frankfurt,261 ms,892 kB/s
34.147.16.159,443,TRUE,FRA,Europe,Frankfurt,257 ms,889 kB/s
35.198.158.4,443,TRUE,FRA,Europe,Frankfurt,243 ms,883 kB/s
35.222.230.126,2053,TRUE,ORD,North America,Chicago,256 ms,876 kB/s
34.154.237.161,443,TRUE,FRA,Europe,Frankfurt,248 ms,857 kB/s
34.118.28.145,443,TRUE,FRA,Europe,Frankfurt,259 ms,847 kB/s
34.65.106.25,443,TRUE,FRA,Europe,Frankfurt,238 ms,837 kB/s
34.154.31.36,443,TRUE,FRA,Europe,Frankfurt,226 ms,822 kB/s
34.141.245.109,443,TRUE,FRA,Europe,Frankfurt,231 ms,809 kB/s
34.118.6.166,443,TRUE,FRA,Europe,Frankfurt,256 ms,809 kB/s
34.88.63.160,443,TRUE,FRA,Europe,Frankfurt,326 ms,787 kB/s
34.154.122.9,443,TRUE,FRA,Europe,Frankfurt,240 ms,784 kB/s
34.141.64.240,443,TRUE,FRA,Europe,Frankfurt,227 ms,742 kB/s
35.198.72.54,443,TRUE,FRA,Europe,Frankfurt,229 ms,739 kB/s
34.82.76.253,443,TRUE,SEA,North America,Seattle,307 ms,737 kB/s
34.141.33.67,443,TRUE,FRA,Europe,Frankfurt,243 ms,723 kB/s
34.154.114.64,443,TRUE,FRA,Europe,Frankfurt,223 ms,717 kB/s
34.154.233.248,443,TRUE,FRA,Europe,Frankfurt,245 ms,703 kB/s
34.118.57.241,443,TRUE,FRA,Europe,Frankfurt,260 ms,696 kB/s
34.141.90.157,443,TRUE,FRA,Europe,Frankfurt,245 ms,689 kB/s
34.65.230.145,443,TRUE,FRA,Europe,Frankfurt,242 ms,682 kB/s
34.141.19.118,443,TRUE,FRA,Europe,Frankfurt,251 ms,667 kB/s
34.118.74.5,443,TRUE,FRA,Europe,Frankfurt,247 ms,665 kB/s
35.229.161.32,443,TRUE,TPE,Asia Pacific,Taipei,81 ms,601 kB/s
34.154.189.54,443,TRUE,FRA,Europe,Frankfurt,248 ms,596 kB/s
34.154.166.85,443,TRUE,FRA,Europe,Frankfurt,248 ms,592 kB/s
34.118.62.37,443,TRUE,FRA,Europe,Frankfurt,268 ms,578 kB/s
34.118.82.162,443,TRUE,FRA,Europe,Frankfurt,264 ms,576 kB/s
34.91.121.200,443,TRUE,FRA,Europe,Frankfurt,252 ms,566 kB/s
35.197.23.75,443,TRUE,SEA,North America,Seattle,284 ms,566 kB/s
34.118.7.117,443,TRUE,FRA,Europe,Frankfurt,250 ms,528 kB/s
34.91.66.231,443,TRUE,FRA,Europe,Frankfurt,247 ms,476 kB/s
34.154.6.8,443,TRUE,FRA,Europe,Frankfurt,239 ms,470 kB/s
34.159.115.89,443,TRUE,FRA,Europe,Frankfurt,234 ms,451 kB/s
34.154.54.15,443,TRUE,FRA,Europe,Frankfurt,254 ms,441 kB/s
34.159.123.250,443,TRUE,FRA,Europe,Frankfurt,235 ms,419 kB/s
34.147.1.38,443,TRUE,FRA,Europe,Frankfurt,248 ms,390 kB/s
34.118.46.98,443,TRUE,FRA,Europe,Frankfurt,250 ms,387 kB/s
34.118.96.199,443,TRUE,FRA,Europe,Frankfurt,252 ms,371 kB/s
34.154.45.210,443,TRUE,FRA,Europe,Frankfurt,245 ms,361 kB/s
34.154.195.84,443,TRUE,FRA,Europe,Frankfurt,250 ms,361 kB/s
34.154.232.11,443,TRUE,FRA,Europe,Frankfurt,238 ms,348 kB/s
34.118.69.139,443,TRUE,FRA,Europe,Frankfurt,247 ms,294 kB/s
34.105.49.234,443,TRUE,SEA,North America,Seattle,294 ms,220 kB/s
35.230.79.26,443,TRUE,SEA,North America,Seattle,248 ms,195 kB/s
34.32.181.239,443,TRUE,FRA,Europe,Frankfurt,235 ms,163 kB/s
34.118.54.96,443,TRUE,FRA,Europe,Frankfurt,251 ms,118 kB/s
35.204.87.166,443,TRUE,FRA,Europe,Frankfurt,245 ms,80 kB/s
34.141.148.252,443,TRUE,FRA,Europe,Frankfurt,252 ms,45 kB/s
35.222.230.126,8443,TRUE,ORD,North America,Chicago,250 ms,0 kB/s
35.204.133.67,443,TRUE,FRA,Europe,Frankfurt,245 ms,0 kB/s
34.154.255.245,443,TRUE,FRA,Europe,Frankfurt,228 ms,0 kB/s
34.22.100.72,443,TRUE,ICN,Asia Pacific,Seoul,296 ms,0 kB/s
34.118.67.148,443,TRUE,FRA,Europe,Frankfurt,254 ms,0 kB/s
34.118.91.9,443,TRUE,FRA,Europe,Frankfurt,252 ms,0 kB/s
34.154.217.153,443,TRUE,FRA,Europe,Frankfurt,238 ms,0 kB/s
34.118.65.106,443,TRUE,FRA,Europe,Frankfurt,260 ms,0 kB/s
34.65.225.189,443,TRUE,FRA,Europe,Frankfurt,250 ms,0 kB/s
34.159.90.98,443,TRUE,FRA,Europe,Frankfurt,244 ms,0 kB/s
34.154.29.165,443,TRUE,FRA,Europe,Frankfurt,230 ms,0 kB/s
34.65.96.247,443,TRUE,FRA,Europe,Frankfurt,230 ms,0 kB/s
34.154.164.19,443,TRUE,FRA,Europe,Frankfurt,244 ms,0 kB/s
34.118.55.40,443,TRUE,FRA,Europe,Frankfurt,259 ms,0 kB/s
34.154.3.212,443,TRUE,FRA,Europe,Frankfurt,234 ms,0 kB/s
34.154.89.210,443,TRUE,FRA,Europe,Frankfurt,239 ms,0 kB/s
34.116.235.77,443,TRUE,FRA,Europe,Frankfurt,275 ms,0 kB/s
34.116.211.148,443,TRUE,FRA,Europe,Frankfurt,261 ms,0 kB/s
34.154.106.76,443,TRUE,FRA,Europe,Frankfurt,243 ms,0 kB/s
34.105.3.218,443,TRUE,SEA,North America,Seattle,249 ms,0 kB/s
34.159.129.185,443,TRUE,FRA,Europe,Frankfurt,253 ms,0 kB/s
